
motOriginal,motAmeliore,raison,categorie,niveau
vraiment,véritablement,"Expression plus précise et soutenue",adverbe,intermédiaire
très,extrêmement,"Intensité plus marquée",adverbe,intermédiaire
beaucoup,considérablement,"Plus élégant et précis",adverbe,intermédiaire
je pense que,j'estime que,"Formulation plus affirmée",expression,intermédiaire
chose,élément,"Plus précis et formel",nom,débutant
truc,dispositif,"Plus précis et technique",nom,débutant
plein de,de nombreux,"Expression plus soutenue",quantificateur,débutant
super,excellent,"Registre plus soutenu",adjectif,débutant
petit,modeste,"Plus précis selon le contexte",adjectif,intermédiaire
grand,imposant,"Plus descriptif et élaboré",adjectif,intermédiaire
bon,satisfaisant,"Plus nuancé et précis",adjectif,débutant
comme,à l'instar de,"Expression plus soutenue",conjonction,avancé
mais,néanmoins,"Transition plus élégante",conjonction,intermédiaire
donc,par conséquent,"Plus formel et structuré",conjonction,intermédiaire
aussi,également,"Plus soutenu",adverbe,débutant
faire,effectuer,"Plus précis et formel",verbe,débutant
dire,exprimer,"Plus élaboré",verbe,débutant
voir,observer,"Plus précis selon le contexte",verbe,intermédiaire
gros,volumineux,"Plus descriptif",adjectif,débutant
bien,convenablement,"Plus formel",adverbe,débutant
parler de,aborder,"Plus élégant dans un discours",expression,intermédiaire
en fait,en réalité,"Plus précis et soutenu",expression,débutant
